	minimum	maximum
EX_arg__L_e	0.0	0.0
EX_his__L_e	0.0	0.0
EX_asp__L_e	0.0	0.0
EX_glu__L_e	0.0	0.0
EX_sbt__D_e	0.0	0.0
EX_malt_e	0.0	0.0
EX_sucr_e	0.0	0.0
EX_arab__L_e	0.0	0.0
EX_arab__D_e	0.0	0.0
EX_rmn_e	0.0	0.0
EX_pyr_e	0.0	0.0
EX_succ_e	0.03107044208181787	0.04529
EX_cit_e	0.0	0.0
EX_glyc_e	0.0	0.0
EX_4abz_e	-3.914840018048871e-06	-3.523356016242596e-06
EX_fum_e	0.0	0.0
EX_ppi_e	0.0	0.0
EX_hco3_e	0.0	0.0
EX_h2s_e	0.0	0.0
EX_k_e	0.0	0.0
EX_ca2_e	0.0	0.0
EX_na1_e	0.0	0.0
EX_mg2_e	0.0	0.0
EX_so4_e	0.0	0.0
EX_pectin_e	0.0	0.0
EX_acgam_e	0.0	0.0
EX_dextrin_e	0.0	0.0
EX_raffin_e	0.0	0.0
EX_oaa_e	0.0	0.0
EX_pheme_e	-3.914840018050263e-06	-3.5233560162452543e-06
EX_mal__L_e	0.0	0.0
EX_3mop_e	0.0	0.0
EX_ade_e	0.0	0.0
EX_adn_e	0.0	0.0
EX_akg_e	0.0	0.0
EX_amet_e	0.0	0.0
EX_btn_e	0.0	0.0
EX_chol_e	0.0	0.0
EX_csn_e	0.0	0.0
EX_cytd_e	0.0	0.0
EX_etha_e	0.0	0.0
EX_dttp_e	0.0	0.0
EX_duri_e	0.0	0.0
EX_dcyt_e	0.0	0.0
EX_dgsn_e	0.0	0.0
EX_gsn_e	0.0	0.0
EX_gua_e	0.0	0.0
EX_hdca_e	0.0	0.0
EX_hxan_e	0.0	0.0
EX_ins_e	0.0	0.0
EX_inost_e	0.0	0.0
EX_melib_e	0.0	0.0
EX_nmn_e	0.0	0.0
EX_mmet_e	0.0	0.0
EX_nac_e	0.0	0.0
EX_nadp_e	0.0	0.0
EX_ocdca_e	0.0	0.0
EX_ttdca_e	0.0	0.0
EX_pnto__R_e	0.0	0.0
EX_orn_e	0.0	0.0
EX_so3_e	-0.010155634304941877	0.0
PPRGL	0.004956216816649932	0.005506907574056451
GARFT	0.004956216816649488	0.005506907574056451
PRFGS	0.004956216816649488	0.005506907574056451
PRFGCL	0.004956216816649488	0.005506907574056451
PRAIC	0.004956216816649488	0.005506907574056451
PRASCSi	0.004956216816649488	0.005506907574056451
ADSL2r	0.00495621681665082	0.005506907574056451
AICART	0.00719349325369768	0.007992770281886281
IMPC	-0.007992770281886502	-0.007193493253696347
NTD11	0.0	0.22209384465001328
PUNP5	-0.44418768929998376	0.22209384465001328
HXPRT	0.0	0.22209384465000168
NTPP6	0.0	0.22209384464999724
ADK1	-2.6560163351229367	-1.8448849914179406
NTD7	0.0	0.4441876892999928
PUNP1	-0.444187689299994	0.2220956063280048
ADPT	0.0	0.22209560632800482
PUNP2	-0.11104780316400398	0.1333695947702828
NTD6	0.0	0.13336959477028015
DADK	-0.13336959477029595	0.0
NDPK8	-0.13336959477026686	1000.0
IMPD	9.233775543529985e-05	0.11113926008043591
GMPR	0.0	0.11104692232498406
GMPS2	9.233775543529985e-05	0.11113926008043729
NTD10	0.0	0.22209384465001336
XPPT	0.0	0.22209384465000132
PUNP7	-0.4441876892999617	0.22209384465000132
NTPP2	0.0	0.22209384465000553
NDPK1	-1000.0	0.2991888538869323
GK1	9.233775543512554e-05	0.44428002705540953
NTD9	0.0	0.2220938446500141
PUNP3	-0.4441876892981303	0.2220938446500016
GPAR	0.0	0.2220938446500016
PUNP4	0.0	0.10259199597713609
NTD8	0.0	0.1025919959771465
DGK1	-0.10259199597670277	0.0
NDPK5	-0.1025919959771489	1000.0
3NUCLE1	0.0	0.0
23CN2P1	0.0	0.0
NDP1	0.0	0.44418768930000535
NTP1	0.0	0.44418768929998376
NDPK9	0.0	0.44418768929998376
ADNCYC	0.0	0.22209384464998733
PDE1	0.0	0.22209384464999812
DADA	0.0	0.11104780316399858
PUNP6	0.0	0.11104780316400466
ADD	0.0	0.1110478031640051
ALLTN	0.0	0.0
INSH	0.0	0.4441876893000273
ADA	0.0	0.11104780316399356
ADNUC	0.0	0.4441876892999617
ADNK1	0.0	0.4441912126559996
NTP11	0.0	0.0
NTP10	0.0	0.44418768930001445
IDPA	0.0	0.0
AP4AH1	0.0	0.44418768929997515
NTPP11	0.0	0.0
XTSNH	0.0	0.4441876893000144
GUAD	0.0	0.08883753785999655
GNNUC	0.0	0.4441876892999607
3NUCLE4	0.0	0.0
23CN2P4	0.0	0.0
NDP3	0.0	0.44418768929997504
NTP3	0.0	0.4441876893000169
ATPATF3	0.0	0.0
PPGPPDP	0.0	0.0
GUAC	0.0	0.2220938446499719
PDE4	0.0	0.2220938446499862
NDPK4	0.00016183997183230896	0.4443495292718148
DHORTS	-0.02051730695433462	-0.01846557625890125
DHORD3	0.01846557625890125	0.020517306954334593
NADPHQR	-0.020517306954334593	-0.01846557625890125
ORPT	-0.020517306954334617	-0.01846557625890125
OMPDC	0.01846557625890125	0.020517306954334593
UPPRT	0.0	0.22209384465001328
NTD2	0.0	0.4441876893000139
URIK1	0.0	0.44418768929998376
3NUCLE2	0.0	0.0
23CN2P2	0.0	0.0
CYTD	0.0	0.14806256310000626
PYNP2r	-0.4441876892999757	0.22217476463593494
URIH	0.0	0.44418768930000635
YUMPS	0.0	0.0
DURIPP	-0.00017981491140936918	0.10250485137692689
NTD1	0.0	0.444187689299961
DURIK1	0.0	0.44418768929999136
TMDS	0.00016183997183230896	0.00017982219092478664
DCYTD	0.0	0.08338634172614631
NTD3	0.0	0.08338634172614257
CYTK2	-0.08338634172614329	0.0
NDPK7	-0.08338634172614257	1000.0
MCSNAH	0.0	0.0
NDP8	0.0	0.10266669134866477
NTP8	0.0	0.08341668672078975
DTMPK	0.00016183997183230896	0.4443495292714948
DTPH	0.0	0.44418768929964314
NTP9	0.0	0.44418768930083063
NTPP7	0.0	0.22209384464983203
TMDK1	0.0	0.4441876892996566
NTD5	0.0	0.4441876892996373
23CN2P3	0.0	0.0
3NUCLE3	0.0	0.0
NTD4	0.0	0.44418768929998476
PYNP1	-0.14806256310001156	0.0
CSND	0.0	0.14806256310000507
CYTDK1	0.0	0.44418768929998653
UMPK	0.01830373628706894	0.4626532655588885
NDPK2	0.01830373628706894	0.46249494894312526
CTPS2	7.447980079644122e-05	0.14819098955806925
NDPK3	-1000.0	0.4488420425974902
CYTK1	-0.14806256309918223	0.4441876892999649
NTPP4	0.0	0.2220938446499877
NTPP8	0.0	0.22209384464999923
NTP7	0.0	0.44418768930004043
NDP7	0.0	0.4441876892999877
NTP5	0.0	0.4441876893000303
CDPPH	0.0	0.44418768930003194
RNDR2	0.0	1000.0
RNTR2	-999.9999278396184	0.102664156358732
RNDR1	0.0	1000.0
RNTR1	-999.9998010443043	0.13356855046598426
RNDR3	0.0	1000.0
RNTR3	-999.9999386899115	0.08344765181471282
RNDR4	0.0	0.10266669134875825
RNTR4	0.0	0.08341668672086389
APATT	0.0	1000.0
BTPS	0.0	0.4441876892989285
BTP	0.0	0.0
ADATT	-1000.0	0.0
HMPK1	0.0	3.914840018050271e-06
HMPK2	0.0	3.914840018050252e-06
HMPK3	0.0	3.914840018050278e-06
HMPK4	0.0	3.9148400180502895e-06
PMPK	3.5233560162452543e-06	3.914840018050263e-06
TYRL	0.0	0.0
HETZK	3.5233560162452543e-06	3.914840018050263e-06
THMP	3.5233560162452543e-06	3.914840018050263e-06
TMPPP	3.5233560162452543e-06	3.914840018050263e-06
TMPPP_1	0.0	0.0
TMDPK	0.0	0.0
TMDPPK	0.0	0.0
PYDXS	3.5233560162452543e-06	3.914840018050263e-06
GLYCK2	0.0	0.22209736800600258
HPYRDC	-3.914840018048871e-06	-3.523356016242596e-06
PDXPP	0.0	0.44418768929998376
PYDXNK	0.0	0.444187689299983
PYDXOR	3.5233560162452543e-06	3.914840018050259e-06
PYDXK	0.0	0.44418768930001445
PYDXPP	3.5233560162452543e-06	0.4441912126559992
PDYXPT_c	0.0	0.0
PYDAMK	0.0	0.4441876893000042
HYPOE	0.0	0.444187689299983
OHPBAT	0.0	0.0
4HTHRS	0.0	0.0
DB4PS	7.0467120324905086e-06	7.829680036100518e-06
RBFSa	7.0467120324905086e-06	7.829680036100526e-06
RBFSb	3.5233560162452543e-06	3.914840018050263e-06
ACP1_FMN	0.0	0.44418768930001445
RBFK	0.0	0.444187689299983
FADDP	0.0	0.22209384464999812
FMNAT	0.0	0.22209384464998605
FMNRx	0.0	0.0
FMNRx2	0.0	0.0
GTPCII2	3.5233560162452543e-06	3.914840018050259e-06
DHPPDA2	3.5233560162452543e-06	3.914840018050263e-06
PMDPHT	3.5233560162452543e-06	3.914840018050263e-06
APRAUR	3.5233560162452543e-06	3.914840018050263e-06
PNP	0.0	0.0
NMNHYD	0.0	0.44418768930001445
NP1	0.0	0.0
NT5C	0.0	0.0
NNATr	7.0467120324990695e-06	0.22210089136202077
DNADDP	0.0	0.22209384464999737
NADS2	0.0	7.829666234693278e-06
