	minimum	maximum
EX_dcyt_e	0.0	0.0
EX_dgsn_e	0.0	0.0
EX_gsn_e	0.0	0.0
EX_gua_e	0.0	0.0
EX_hdca_e	0.0	0.0
EX_hxan_e	0.0	0.0
EX_ins_e	0.0	0.0
EX_inost_e	0.0	0.0
EX_melib_e	0.0	0.0
EX_nmn_e	0.0	0.0
EX_mmet_e	0.0	0.0
EX_nac_e	0.0	0.0
EX_nadp_e	0.0	0.0
EX_ocdca_e	0.0	0.0
EX_ttdca_e	0.0	0.0
EX_pnto__R_e	0.0	0.0
EX_orn_e	0.0	0.0
EX_so3_e	-0.011644299846986221	0.0
PPRGL	0.005608484175028239	0.006231649083369109
GARFT	0.005608484175032374	0.006231649083369109
PRFGS	0.005608484175029238	0.006231649083368818
PRFGCL	0.005608484175029238	0.006231649083368818
PRAIC	0.005608484175029238	0.006231649083368818
PRASCSi	0.005608484175029238	0.006231649083368818
ADSL2r	0.005608484175029238	0.006231649083368818
AICART	0.008140199383733258	0.009044665981928842
IMPC	-0.009044665981928102	-0.008140199383736394
NTD11	0.0	0.26150000000000534
PUNP5	-0.5230000000000681	0.2615000000000031
HXPRT	0.0	0.2615000000000018
NTPP6	0.0	0.2615000000000256
ADK1	-2.645897577829479	-1.7363505398250794
NTD7	0.0	0.5230000000000841
PUNP1	-0.5229999999999966	0.26150199352521514
ADPT	0.0	0.2615019935252267
PUNP2	-0.13075099676260998	0.1962394619165335
NTD6	0.0	0.19623946191653302
DADK	-0.19623946191653374	0.0
NDPK8	-0.19623946191653302	1000.0
IMPD	0.00010448994853837852	0.1308544899482351
GMPR	0.0	0.1307499999996973
GMPS2	0.00010448994853837852	0.1308544899482351
NTD10	0.0	0.26149999999937606
XPPT	0.0	0.2614999999993865
PUNP7	-0.5230000000000343	0.26149999999937606
NTPP2	0.0	0.26149999999935647
NDPK1	-1000.0	0.41616772767635446
GK1	0.00010448994862599648	0.5231044899472974
NTD9	0.0	0.26149999999936896
PUNP3	-0.523000000000442	0.2614999999993716
GPAR	0.0	0.2614999999993836
PUNP4	0.0	0.14271960866656314
NTD8	0.0	0.14271960866658673
DGK1	-0.14271960866655398	0.0
NDPK5	-0.14271960866658118	1000.0
3NUCLE1	0.0	0.0
23CN2P1	0.0	0.0
NDP1	0.0	0.5229999999984951
NTP1	0.0	0.5229999999978707
NDPK9	0.0	0.5229999999978867
ADNCYC	0.0	0.26149999999925466
PDE1	0.0	0.2614999999993115
DADA	0.0	0.13075099676210905
PUNP6	0.0	0.13075099676213778
ADD	0.0	0.13075099676274357
ALLTN	0.0	0.0
INSH	0.0	0.5230000000004453
ADA	0.0	0.130750996762609
ADNUC	0.0	0.5230000000000254
ADNK1	0.0	0.5230039870505148
NTP11	0.0	0.0
NTP10	0.0	0.5230000000000308
IDPA	0.0	0.0
AP4AH1	0.0	0.5230000000000342
NTPP11	0.0	0.0
XTSNH	0.0	0.5230000000000679
GUAD	0.0	0.10460000000001349
GNNUC	0.0	0.522999999999993
3NUCLE4	0.0	0.0
23CN2P4	0.0	0.0
NDP3	0.0	0.523000000000084
NTP3	0.0	0.5230000000000554
ATPATF3	0.0	0.0
PPGPPDP	0.0	0.0
GUAC	0.0	0.2614999999999966
PDE4	0.0	0.2615000000000244
NDPK4	0.00018313906644675627	0.5231831390665174
DHORTS	-0.023217505533872595	-0.020895754980485237
